Place,Player,Registration code,Advertiser,Profile,Cardroom,Chips,Bets + fees,Total win,Jackpot win
20,dannyjl4444,8568022954,defaultbetfredew5,100724,betfredew5,0,€1.00,€0.00,0
21,Tyninka688,8567971842,ExeMedia,-,bifortuna.cz,0,€1.00,€0.00,0
22,Ylore,8568019829,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
23,ujkavojtech,8568022342,PPC_SPB_Brand_Google,-,bifortuna.cz,0,€1.00,€0.00,0
24,alekei716,8567996852,default8t,-,coolbet,0,€1.00,€0.00,0
25,cardcube198,8568012733,default3g,-,boylepokeruw4,0,€1.00,€0.00,0
26,demonjolly324,8567999075,default2k,-,bet365poker.bg,0,€1.00,€0.00,0
27,cloudfree1399,8567999225,default44,-,betfairpoker,0,€1.00,€0.00,0
28,demonjolly324,8567959374,default2k,-,bet365poker.bg,0,€1.00,€0.00,0
29,robertsone79,8567960298,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
30,haluzar11,8567951341,PokerStars,-,bifortuna.cz,0,€1.00,€0.00,0
31,doowyah,8567980070,BetfairOG,-,betfairpoker,0,€1.00,€0.00,0
32,pilotbleak37,8567981333,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
1,MaTsuKai,8567506508,defaulthollandcasino,-,hollandcasino,1995800,€1.00,€0.00,0
1,KosK417,8567478448,defaultvx,-,redstar,15550400,€1.00,€0.00,0
1,Daxar,8567506942,Pokerman,-,bifortuna.cz,2832200,€1.00,€0.00,0
1,ondreej77,8567486956,Google,-,bifortuna.cz,2551200,€1.00,€0.00,0
1,nevermore111,8567487939,defaultvx,-,redstar,3070400,€1.00,€0.00,0
6,ada2cz,8567500272,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
7,Ionutned47,8567487433,Google,-,efortuna,0,€1.00,€0.00,0
8,Serdika,8567503325,default2k,-,bet365poker.bg,0,€1.00,€0.00,0
9,Ladenka10,8567514842,Sklik,-,bifortuna.cz,0,€1.00,€0.00,0
10,Ylore,8567495094,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
11,masikk1,8567492272,defaultvx,-,redstar,0,€1.00,€0.00,0
12,lukas202,8567514122,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
13,Fontana0,8567502809,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
14,Ladenka10,8567513480,Sklik,-,bifortuna.cz,0,€1.00,€0.00,0
15,Ladenka10,8567498615,Sklik,-,bifortuna.cz,0,€1.00,€0.00,0
16,ravenwyvern4,8567494507,bet365,-,bet365poker,0,€1.00,€0.00,0
17,dHarwood,8567501609,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
18,MaTsuKai,8567481536,defaulthollandcasino,-,hollandcasino,0,€1.00,€0.00,0
19,PrinsThor,8567497837,default8t,-,coolbet,0,€1.00,€0.00,0
20,Fontana0,8567493480,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
21,dHarwood,8567499764,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
22,ada2cz,8567472725,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
23,dHarwood,8567498584,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
24,PrinsThor,8567490653,default8t,-,coolbet,0,€1.00,€0.00,0
25,ravenwyvern4,8567487850,bet365,-,bet365poker,0,€1.00,€0.00,0
26,Fontana0,8567454128,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
1,JuanDavid281,8567301373,defaultatlanticcity.pe,-,atlanticcity.pe,13344000,€1.00,€0.00,0
1,lightcruel671,8567263915,default8t,-,coolbet,23605100,€1.00,€0.00,0
1,Oggirdor,8567300389,defaultbet365poker.bap,-,bet365poker.bap,29898600,€1.00,€0.00,0
1,messigan,8567260025,defaultvx,-,redstar,31319400,€1.00,€0.00,0
1,JosiahW,8567305680,BetfairOG,-,betfairpoker,21063300,€1.00,€0.00,0
1,kingguire,8567302937,defaultskypoker.com,-,skypoker.com,4949600,€1.00,€0.00,0
1,Eliasidvd83,8567274064,defaultbetsson.pe,-,betsson.pe,33568600,€1.00,€0.00,0
1,IvanNa06,8567092775,defaultteammexico.mx,-,teammexico.mx,32498600,€1.00,€0.00,0
1,Juanchizzzzz,8567289840,defaultbetsson.pe,-,betsson.pe,45327400,€1.00,€0.00,0
1,sharkgiant879,8567298707,defaultbetsson.pe,-,betsson.pe,5623800,€1.00,€0.00,0
1,Ammoss77,8566815115,CZ_Display_PK,-,bifortuna.cz,6267700,€1.00,€0.00,0
1,racek238,8567144402,no_affiliate_cz,-,bifortuna.cz,5988800,€1.00,€0.00,0
1,Mex86156,8567282666,defaultsportiumbet.mx,-,sportiumbet.mx,29643000,€1.00,€0.00,0
1,Ylore,8567292912,no_affiliate_cz,-,bifortuna.cz,10453600,€1.00,€0.00,0
1,Karipihvi,8567302860,default97,-,paf.com,17787000,€1.00,€0.00,0
1,sobanek615,8567308464,no_affiliate_cz,-,bifortuna.cz,7479500,€1.00,€0.00,0
1,moonfurious794,8566735431,default97,-,paf.com,5730800,€1.00,€0.00,0
